Country,Key,Continent,Refugees_2010,Refugees_2015,Murder Rate,Children_out_of_school,Government,GDP($ in million),Immigrants,Rain(ml),Density(pop/mi),Population,Area(mi),Famine,Female,Male,Civil,Poverty
Israel,ISR,Asia,25471.0,38463.0,2.1,2.65,Constitutional monarchy,296075.0,2046873,435.0,1007.75,8588060.0,8522.0,0.0,50.5,49.5,0.0,21.0
Italy,ITA,Europe,56397.0,117986.0,1.1,0.421,Constitutional monarchy,1814763.0,5788875,832.0,521.0,60665551.0,116336.0,0.0,51.4,48.6,0.0,29.9
Jamaica,JAM,North America,21.0,8.0,60.0,11.09,Constitutional monarchy,14006.0,23167,2051.0,642.0,2723246.0,4244.0,0.0,50.8,49.2,0.0,16.5
Jordan,JOR,Asia,450915.0,664095.0,1.9,3.21,Republic,37517.0,2925780,111.0,282.06,9729613.0,34495.0,0.0,49.0,51.0,0.0,14.2
Japan,JPN,Asia,2586.0,2464.0,1.02,0.0322,Republic,4123258.0,2437169,1668.0,870.0,126920000.0,145925.0,0.0,51.3,48.7,0.0,16.0
Kazakhstan,KAZ,Asia,4406.0,701.0,11.0,0.602,Republic,184361.0,3476233,250.0,16.0,17186000.0,1052090.0,0.0,51.9,48.1,0.0,5.3
Kenya,KEN,Africa,402905.0,553892.0,3.6,27.32,Republic,63398.0,955452,630.0,210.0,47251449.0,224647.0,1.0,50.1,49.9,0.0,43.4
Cambodia,KHM,Asia,129.0,69.0,3.2,1.92,Constitutional monarchy,18050.0,75556,1904.0,218.0,15184116.0,69898.0,0.0,51.2,48.8,0.0,20.0
South Korea,KOR,Asia,358.0,1425.0,2.3,0.612,Republic,1377873.0,1230000,1274.0,1313.0,50801405.0,38691.0,0.0,50.3,49.7,0.0,16.0
Sri Lanka,LKA,Asia,223.0,776.0,7.4,4.94,Republic,82316.0,324977,1712.0,829.0,20966000.0,25332.0,0.0,51.1,48.9,0.0,8.9
Lithuania,LTU,Europe,803.0,1064.0,9.0,0.456,Republic,41244.0,136036,656.0,117.0,2944459.0,25212.0,0.0,54.0,46.0,0.0,4.0
Morocco,MAR,Africa,792.0,3884.0,0.4,2.68,Republic,100360.0,50771,346.0,197.74,34093762.0,172414.0,0.0,50.6,49.4,0.0,15.0
Mexico,MEX,North America,1395.0,2874.0,15.0,3.4,Republic,1144331.0,1103460,752.0,161.0,122273473.0,759516.0,0.0,51.6,48.4,0.0,52.3
Mongolia,MNG,Asia,12.0,6.0,7.9,1.87,Constitutional monarchy,11758.0,17225,241.0,4.97,3000000.0,603902.0,0.0,50.5,49.5,0.0,29.8
Mozambique,MOZ,Africa,4077.0,5609.0,5.0,27.44,Republic,14689.0,218881,1032.0,77.0,23700715.0,308642.0,0.0,51.1,48.9,0.0,52.0
Malaysia,MYS,Asia,81516.0,94111.0,2.3,3.63,Republic,296218.0,3276880,2875.0,245.0,31339000.0,127724.0,0.0,51.5,48.5,0.0,3.8
Namibia,NAM,Africa,7254.0,1725.0,6.0,19.24,Republic,11546.0,51448,285.0,6.63,2113077.0,318580.0,0.0,51.5,48.5,0.0,28.7
Nigeria,NGA,Africa,8747.0,1372.0,1.3,69.68,Absolute monarchy,481066.0,1233592,1150.0,523.0,186988000.0,356669.0,0.0,49.1,50.9,0.0,70.0
Nicaragua,NIC,North America,64.0,325.0,13.0,9.24,Republic,12693.0,41482,2391.0,129.0,6071045.0,46884.0,0.0,50.5,49.5,0.0,42.5
Netherlands,NLD,Europe,74961.0,88493.0,0.93,0.0465,Republic,752547.0,1979486,778.0,1265.306,17362465.0,3283.2,0.0,50.4,49.6,0.0,9.1
Nepal,NPL,Asia,89808.0,32659.0,2.2,2.97,Constitutional monarchy,20881.0,971247,1500.0,466.0,26494504.0,56827.0,0.0,51.6,48.4,0.0,25.2
Pakistan,PAK,Asia,1900621.0,1561152.0,6.8,29.98,Republic,269971.0,4080766,494.0,626.18,194369652.0,310403.0,0.0,48.6,51.4,0.0,22.3
Panama,PAN,North America,17073.0,17264.0,13.0,9.14,Republic,52132.0,158417,2692.0,119.0,3405813.0,28640.0,0.0,49.5,50.5,0.0,26.0
Peru,PER,South America,1146.0,1429.0,3.2,4.34,Republic,192084.0,104919,1738.0,61.0,30475144.0,496225.0,0.0,49.9,50.1,0.0,25.8
Philippines,PHL,Asia,243.0,239.0,6.4,15.99,Republic,291965.0,213150,2348.0,889.88,103075048.0,115831.0,0.0,49.9,50.1,0.0,26.5
Poland,POL,Europe,15555.0,14012.0,1.21,2.05,Absolute monarchy,474783.0,619403,600.0,319.0,38496000.0,120728.0,0.0,51.7,48.3,0.0,10.6
Portugal,PRT,Europe,384.0,634.0,1.17,0.428,Republic,198931.0,837257,854.0,298.0,10562178.0,35556.0,0.0,51.6,48.4,0.0,18.0
Paraguay,PRY,South America,107.0,167.0,12.0,21.2,Republic,27623.0,185776,1130.0,42.0,6672631.0,157048.0,0.0,49.6,50.4,0.0,34.7
Romania,ROU,Europe,1021.0,2546.0,2.3,4.86,Republic,177954.0,226943,637.0,218.0,20121641.0,92043.0,0.0,51.3,48.7,0.0,22.2
Russia,RUS,Asia,4922.0,314472.0,15.0,1.53,Constitutional monarchy,1326015.0,11643276,460.0,21.8,143975923.0,6601668.0,0.0,53.9,46.1,0.0,11.0
Senegal,SEN,Africa,20672.0,14383.0,1.1,31.95,Republic,13780.0,209398,686.0,194.0,14799859.0,75955.0,0.0,51.0,49.0,0.0,54.0
Sierra Leone,SLE,Africa,8363.0,760.0,2.6,103.37,Republic,4475.0,96368,2526.0,220.0,6092000.0,27699.0,0.0,50.3,49.7,0.0,70.2
El Salvador,SLV,North America,38.0,36.0,71.0,6.3,Republic,25850.0,41615,1724.0,780.0,6340000.0,8124.0,0.0,52.6,47.4,0.0,36.5
Slovenia,SVN,Europe,314.0,269.0,0.55,1.48,Republic,42747.0,235966,1162.0,264.0,2069741.0,7827.0,0.0,50.3,49.7,0.0,13.5
Swaziland,SWZ,Africa,759.0,674.0,13.0,28.07,Republic,4060.0,25524,788.0,186.0,1250000.0,6704.0,0.0,50.7,49.3,0.0,69.0
Chad,TCD,Africa,347939.0,369523.0,19.0,63.78,Republic,10889.0,331251,322.0,22.7,11274106.0,495755.0,0.0,49.9,50.1,1.0,80.0
Thailand,THA,Asia,96675.0,108237.0,5.9,3.68,Constitutional monarchy,395282.0,3721735,1622.0,332.0,65729098.0,198117.0,0.0,51.0,49.0,0.0,13.2
Tajikistan,TJK,Asia,3131.0,1963.0,1.7,0.886,n/a,7853.0,275735,691.0,155.0,8551000.0,55251.0,0.0,49.8,50.2,0.0,35.6
Trinidad and Tobago,TTO,North America,29.0,101.0,43.0,1.23,Republic,27806.0,32488,2200.0,668.0,1328019.0,1990.0,0.0,50.6,49.4,0.0,17.0
Turkey,TUR,Asia,10032.0,2541308.0,3.8,3.34,Constitutional monarchy,718221.0,4580678,593.0,264.0,78741053.0,302535.0,0.0,50.9,49.1,0.0,16.9
Uganda,UGA,Africa,135801.0,477167.0,8.7,18.86,Absolute monarchy,26369.0,531401,1180.0,394.0,36600000.0,93263.0,1.0,49.9,50.1,0.0,24.5
Ukraine,UKR,Europe,3022.0,3226.0,5.4,0.534,Constitutional monarchy,90615.0,4834898,1875.0,192.0,42658149.0,222588.0,0.0,53.9,46.1,0.0,24.1
Uruguay,URY,South America,189.0,267.0,5.8,0.147,Republic,53443.0,73528,1265.0,48.0,3286314.0,68037.0,0.0,51.7,48.3,0.0,18.6
United States of America,USA,North America,264569.0,273113.0,5.0,5.64,Republic,17946996.0,46627102,715.0,613.666666667,16823155.0,25815.5,0.0,50.8,49.2,0.0,15.1
Uzbekistan,UZB,Asia,311.0,106.0,3.2,6.06,Republic,66733.0,1266278,206.0,179.0,30492800.0,171469.0,0.0,50.3,49.7,0.0,17.0
Venezuela,VEN,South America,201547.0,173705.0,49.0,6.37,n/a,371337.0,1171331,1875.0,83.0,28946101.0,353841.0,0.0,49.9,50.1,0.0,31.6
Vietnam,VNM,Asia,1928.0,0.0,1.9,1.37,Republic,193599.0,68290,1821.0,725.0,92700000.0,127882.0,0.0,50.6,49.4,0.0,11.3
Yemen,YEM,Asia,190092.0,267158.0,4.0,20.55,Republic,35955.0,314683,167.0,140.0,24527000.0,175676.0,0.0,49.6,50.4,1.0,45.2
South Africa,ZAF,Africa,57899.0,121573.0,34.0,12.82,Constitutional monarchy,312798.0,2399238,495.0,111.0,52981991.0,471359.0,0.0,51.5,48.5,0.0,31.3
